visit_id,cadre,reason,staff_count
KD-001-R1,CHO,"Leave (Study, Annual, Maternity, etc.)",1
KD-001-R1,CHEW,Transportation Problems,1
KD-001-R1,JCHEW,Dissatisfaction with Job,1
KD-001-R1,JCHEW,Meetings,1
KD-001-R2,Medical Officer,Shift,1
KD-001-R2,Nurse/Midwife,Long Distance to Workplace,1
KD-001-R2,CHEW,Long Distance to Workplace,1
KD-001-R2,JCHEW,Personal Health Issues,1
KD-001-R2,JCHEW,Long Distance to Workplace,1
KD-001-R2,JCHEW,Family Responsibilities,1
KD-001-R2,Medical Records Officer,Dissatisfaction with Salary and Benefits,1
KD-001-R3,Nurse/Midwife,Shift,1
KD-001-R3,CHEW,Meetings,1
KD-001-R3,JCHEW,Long Distance to Workplace,1
KD-001-R4,Medical Officer,High Workload and Stress,1
KD-001-R4,CHO,Meetings,1
KD-001-R4,CHEW,Access to Salary,1
KD-001-R4,JCHEW,Family Responsibilities,1
KD-001-R4,JCHEW,Meetings,1
KD-001-R5,CHEW,Shift,1
KD-001-R5,JCHEW,Crime,1
KD-001-R6,Nurse/Midwife,Transportation Problems,1
KD-002-R1,CHEW,Family Responsibilities,1
KD-002-R1,Medical Lab Technician,Funeral,1
KD-002-R2,Nurse/Midwife,Workshop and Training,1
KD-002-R2,CHEW,"Leave (Study, Annual, Maternity, etc.)",1
KD-002-R2,JCHEW,Family Responsibilities,1
KD-002-R3,Nurse/Midwife,Long Distance to Workplace,1
KD-002-R3,Pharmacy Technician,Policy and Governance Issues,1
KD-002-R4,Medical Lab Technician,Workplace Conflict,1
KD-002-R4,Medical Records Officer,Crime,1
KD-002-R5,CHEW,Access to Salary,1
KD-002-R5,Medical Lab Technician,Unrest,1
KD-002-R5,Medical Records Officer,"Leave (Study, Annual, Maternity, etc.)",1
KD-002-R5,Pharmacy Technician,High Workload and Stress,1
KD-002-R6,Nurse/Midwife,Family Responsibilities,1
KD-002-R6,Medical Lab Technician,Transportation Problems,1
KD-003-R2,CHEW,Poor Health Facility Infrastructure,1
KD-003-R3,Pharmacy Technician,Family Responsibilities,1
KD-003-R3,Pharmacy Technician,Unrest,1
KD-003-R4,Nurse/Midwife,Shift,1
KD-003-R4,CHEW,"Leave (Study, Annual, Maternity, etc.)",1
KD-003-R4,JCHEW,Workshop and Training,1
KD-003-R4,JCHEW,Transportation Problems,1
KD-003-R5,CHO,Shift,1
KD-003-R5,Pharmacy Technician,Personal Health Issues,1
KD-003-R6,CHEW,Weddings,1
KD-003-R6,JCHEW,Shift,1
KD-003-R6,JCHEW,Dissatisfaction with Salary and Benefits,1
KD-003-R6,Medical Records Officer,Personal Health Issues,1
KD-003-R6,Medical Records Officer,Workplace Conflict,1
KD-003-R6,Pharmacy Technician,Long Distance to Workplace,1
KD-004-R1,Nurse/Midwife,Unrest,1
KD-004-R1,Nurse/Midwife,Crime,1
KD-004-R1,CHEW,Transportation Problems,1
KD-004-R1,JCHEW,Workshop and Training,1
KD-004-R1,Medical Lab Technician,Lack of Professional Development Opportunities,1
KD-004-R1,Medical Lab Technician,Transportation Problems,1
KD-004-R1,Pharmacy Technician,"Leave (Study, Annual, Maternity, etc.)",1
KD-004-R2,Medical Officer,Dissatisfaction with Job,1
KD-004-R2,Nurse/Midwife,Unrest,5
KD-004-R2,Nurse/Midwife,"Leave (Study, Annual, Maternity, etc.)",4
KD-004-R2,Nurse/Midwife,Workplace Conflict,1
KD-004-R2,Nurse/Midwife,Funeral,1
KD-004-R2,Nurse/Midwife,Family Responsibilities,1
KD-004-R2,CHO,Workplace Conflict,1
KD-004-R2,CHO,Personal Health Issues,1
KD-004-R2,CHEW,"Leave (Study, Annual, Maternity, etc.)",1
KD-004-R2,JCHEW,Unrest,1
KD-004-R2,Medical Lab Technician,Long Distance to Workplace,2
KD-004-R2,Medical Lab Technician,"Leave (Study, Annual, Maternity, etc.)",1
KD-004-R2,Medical Lab Technician,Transportation Problems,1
KD-004-R2,Pharmacy Technician,Unrest,1
KD-004-R2,Pharmacy Technician,Personal Health Issues,1
KD-004-R3,Medical Officer,"Leave (Study, Annual, Maternity, etc.)",1
KD-004-R3,Nurse/Midwife,Shift,1
KD-004-R3,Nurse/Midwife,Workshop and Training,1
KD-004-R3,Nurse/Midwife,Family Responsibilities,1
KD-004-R3,CHO,Transportation Problems,1
KD-004-R3,CHO,Meetings,1
KD-004-R3,JCHEW,Unrest,1
KD-004-R3,JCHEW,Shift,1
KD-004-R3,JCHEW,Personal Health Issues,1
KD-004-R4,Medical Officer,Dissatisfaction with Salary and Benefits,1
KD-004-R4,Nurse/Midwife,Family Responsibilities,1
KD-004-R4,Nurse/Midwife,Funeral,1
KD-004-R4,Nurse/Midwife,Dissatisfaction with Salary and Benefits,1
KD-004-R4,CHO,Transportation Problems,1
KD-004-R4,CHO,Workshop and Training,1
KD-004-R4,CHEW,High Workload and Stress,1
KD-004-R4,CHEW,Workshop and Training,1
KD-004-R4,CHEW,Meetings,1
KD-004-R4,CHEW,Shift,1
KD-004-R4,Medical Lab Technician,Shift,1
KD-004-R4,Medical Lab Technician,Long Distance to Workplace,1
KD-004-R4,Medical Lab Technician,Transportation Problems,1
KD-004-R4,Medical Records Officer,Shift,1
KD-004-R4,Pharmacy Technician,Family Responsibilities,1
KD-004-R5,Medical Officer,"Leave (Study, Annual, Maternity, etc.)",1
KD-004-R5,Medical Officer,Meetings,1
KD-004-R5,Nurse/Midwife,Policy and Governance Issues,1
KD-004-R5,Nurse/Midwife,Family Responsibilities,1
KD-004-R5,Nurse/Midwife,Long Distance to Workplace,1
KD-004-R5,Nurse/Midwife,Access to Salary,1
KD-004-R5,Nurse/Midwife,High Workload and Stress,1
KD-004-R5,CHO,Workshop and Training,1
KD-004-R5,CHEW,"Leave (Study, Annual, Maternity, etc.)",1
KD-004-R6,Nurse/Midwife,Family Responsibilities,1
KD-004-R6,Nurse/Midwife,Dissatisfaction with Salary and Benefits,1
KD-004-R6,Pharmacy Technician,Meetings,1
KD-005-R1,Pharmacy Technician,Weddings,1
KD-005-R2,Nurse/Midwife,Shift,1
KD-005-R2,CHO,Workshop and Training,1
KD-005-R2,CHEW,Funeral,1
KD-005-R2,CHEW,Unrest,1
KD-005-R2,JCHEW,Dissatisfaction with Salary and Benefits,1
KD-005-R2,JCHEW,Funeral,1
KD-005-R2,JCHEW,Family Responsibilities,1
KD-005-R2,Environmental Health Officer,Transportation Problems,1
KD-005-R3,Nurse/Midwife,Access to Salary,1
KD-005-R3,CHEW,Personal Health Issues,1
KD-005-R3,JCHEW,Transportation Problems,1
KD-005-R3,Medical Lab Technician,Family Responsibilities,1
KD-005-R3,Medical Lab Technician,Personal Health Issues,1
KD-005-R4,Nurse/Midwife,Unrest,1
KD-005-R4,Nurse/Midwife,Dissatisfaction with Salary and Benefits,1
KD-005-R4,CHEW,Family Responsibilities,1
KD-005-R4,JCHEW,Family Responsibilities,2
KD-005-R4,JCHEW,Funeral,1
