visit_id,cce_type,available,functional
KD-001-R1,Solar Refrigerators and Freezers,No,
KD-001-R1,Refrigerators,No,
KD-001-R1,Temperature Monitoring Devices,Yes,Yes
KD-001-R1,Cold Boxes (6L),Yes,Yes
KD-001-R1,GioStyle (4L),Yes,Yes
KD-001-R1,Rush (3L),No,
KD-001-R1,Ice Packs,Yes,Yes
KD-001-R2,Solar Refrigerators and Freezers,No,
KD-001-R2,Refrigerators,No,
KD-001-R2,Temperature Monitoring Devices,Yes,Yes
KD-001-R2,Cold Boxes (6L),Yes,Yes
KD-001-R2,GioStyle (4L),Yes,Yes
KD-001-R2,Rush (3L),No,
KD-001-R2,Ice Packs,Yes,Yes
KD-001-R3,Solar Refrigerators and Freezers,No,
KD-001-R3,Refrigerators,No,
KD-001-R3,Temperature Monitoring Devices,Yes,Yes
KD-001-R3,Cold Boxes (6L),Yes,Yes
KD-001-R3,GioStyle (4L),Yes,Yes
KD-001-R3,Rush (3L),No,
KD-001-R3,Ice Packs,Yes,No
KD-001-R4,Solar Refrigerators and Freezers,No,
KD-001-R4,Refrigerators,No,
KD-001-R4,Temperature Monitoring Devices,Yes,Yes
KD-001-R4,Cold Boxes (6L),Yes,No
KD-001-R4,GioStyle (4L),Yes,Yes
KD-001-R4,Rush (3L),No,
KD-001-R4,Ice Packs,Yes,Yes
KD-001-R5,Solar Refrigerators and Freezers,No,
KD-001-R5,Refrigerators,No,
KD-001-R5,Temperature Monitoring Devices,Yes,No
KD-001-R5,Cold Boxes (6L),Yes,Yes
KD-001-R5,GioStyle (4L),Yes,Yes
KD-001-R5,Rush (3L),No,
KD-001-R5,Ice Packs,Yes,Yes
KD-001-R6,Solar Refrigerators and Freezers,No,
KD-001-R6,Refrigerators,No,
KD-001-R6,Temperature Monitoring Devices,Yes,No
KD-001-R6,Cold Boxes (6L),Yes,Yes
KD-001-R6,GioStyle (4L),Yes,Yes
KD-001-R6,Rush (3L),No,
KD-001-R6,Ice Packs,Yes,Yes
KD-002-R1,Solar Refrigerators and Freezers,Yes,Yes
KD-002-R1,Refrigerators,Yes,No
KD-002-R1,Temperature Monitoring Devices,Yes,Yes
KD-002-R1,Cold Boxes (6L),Yes,Yes
KD-002-R1,GioStyle (4L),No,
KD-002-R1,Rush (3L),No,
KD-002-R1,Ice Packs,Yes,No
KD-002-R2,Solar Refrigerators and Freezers,Yes,No
KD-002-R2,Refrigerators,Yes,Yes
KD-002-R2,Temperature Monitoring Devices,Yes,No
KD-002-R2,Cold Boxes (6L),Yes,No
KD-002-R2,GioStyle (4L),No,
KD-002-R2,Rush (3L),No,
KD-002-R2,Ice Packs,Yes,Yes
KD-002-R3,Solar Refrigerators and Freezers,Yes,Yes
KD-002-R3,Refrigerators,Yes,Yes
KD-002-R3,Temperature Monitoring Devices,Yes,Yes
KD-002-R3,Cold Boxes (6L),Yes,Yes
KD-002-R3,GioStyle (4L),No,
KD-002-R3,Rush (3L),No,
KD-002-R3,Ice Packs,Yes,Yes
KD-002-R4,Solar Refrigerators and Freezers,Yes,Yes
KD-002-R4,Refrigerators,Yes,Yes
KD-002-R4,Temperature Monitoring Devices,Yes,Yes
KD-002-R4,Cold Boxes (6L),Yes,Yes
KD-002-R4,GioStyle (4L),No,
KD-002-R4,Rush (3L),No,
KD-002-R4,Ice Packs,Yes,Yes
KD-002-R5,Solar Refrigerators and Freezers,Yes,Yes
KD-002-R5,Refrigerators,Yes,Yes
KD-002-R5,Temperature Monitoring Devices,Yes,Yes
KD-002-R5,Cold Boxes (6L),Yes,Yes
KD-002-R5,GioStyle (4L),No,
KD-002-R5,Rush (3L),No,
KD-002-R5,Ice Packs,Yes,Yes
KD-002-R6,Solar Refrigerators and Freezers,Yes,Yes
KD-002-R6,Refrigerators,Yes,Yes
KD-002-R6,Temperature Monitoring Devices,Yes,Yes
KD-002-R6,Cold Boxes (6L),Yes,No
KD-002-R6,GioStyle (4L),No,
KD-002-R6,Rush (3L),No,
KD-002-R6,Ice Packs,Yes,Yes
KD-003-R1,Solar Refrigerators and Freezers,Yes,Yes
KD-003-R1,Refrigerators,No,
KD-003-R1,Temperature Monitoring Devices,Yes,Yes
KD-003-R1,Cold Boxes (6L),Yes,No
KD-003-R1,GioStyle (4L),Yes,Yes
KD-003-R1,Rush (3L),No,
KD-003-R1,Ice Packs,Yes,Yes
KD-003-R2,Solar Refrigerators and Freezers,Yes,Yes
KD-003-R2,Refrigerators,No,
KD-003-R2,Temperature Monitoring Devices,Yes,No
KD-003-R2,Cold Boxes (6L),Yes,Yes
KD-003-R2,GioStyle (4L),Yes,No
KD-003-R2,Rush (3L),No,
KD-003-R2,Ice Packs,Yes,Yes
KD-003-R3,Solar Refrigerators and Freezers,Yes,No
KD-003-R3,Refrigerators,No,
KD-003-R3,Temperature Monitoring Devices,Yes,No
KD-003-R3,Cold Boxes (6L),Yes,Yes
KD-003-R3,GioStyle (4L),Yes,Yes
KD-003-R3,Rush (3L),No,
KD-003-R3,Ice Packs,Yes,Yes
KD-003-R4,Solar Refrigerators and Freezers,Yes,Yes
KD-003-R4,Refrigerators,No,
KD-003-R4,Temperature Monitoring Devices,Yes,Yes
KD-003-R4,Cold Boxes (6L),Yes,Yes
KD-003-R4,GioStyle (4L),Yes,Yes
KD-003-R4,Rush (3L),No,
KD-003-R4,Ice Packs,Yes,Yes
KD-003-R5,Solar Refrigerators and Freezers,Yes,Yes
KD-003-R5,Refrigerators,No,
KD-003-R5,Temperature Monitoring Devices,Yes,Yes
KD-003-R5,Cold Boxes (6L),Yes,Yes
KD-003-R5,GioStyle (4L),Yes,Yes
KD-003-R5,Rush (3L),No,
KD-003-R5,Ice Packs,Yes,No
KD-003-R6,Solar Refrigerators and Freezers,Yes,Yes
KD-003-R6,Refrigerators,No,
KD-003-R6,Temperature Monitoring Devices,Yes,Yes
KD-003-R6,Cold Boxes (6L),Yes,No
KD-003-R6,GioStyle (4L),Yes,Yes
KD-003-R6,Rush (3L),No,
