visit_id,commodity,category,unit,facility_stocks_item,stockout_duration,stockout_reason,quantity_received,not_received_reason,minimum_stock_level,stock_balance,supplier,physically_verified
KD-001-R1,Oxytocin,Maternal,ampoule,Yes,No stock-out,,28.0,,56.0,25.0,Free MNCH,Yes
KD-001-R1,Misoprostol,Maternal,tablet,Yes,More than 4 weeks,High demand or unexpected increase in consumption,0.0,Stock-out at the source/KADHSMA,206.0,0.0,Free MNCH,No
KD-001-R1,Tranexamic Acid Injection,Maternal,ampoule,Yes,No stock-out,,0.0,Delivery delay,23.0,13.0,Free MNCH,Yes
KD-001-R1,IV Fluids,Maternal,bag,Yes,More than 4 weeks,Delay in delivery or distribution,0.0,Delivery delay,94.0,0.0,Free MNCH,No
KD-001-R1,Giving Sets,Maternal,piece,Yes,No stock-out,,0.0,Delivery delay,97.0,11.0,Free MNCH,Yes
KD-001-R1,Calibrated Blood Collection Drape,Maternal,piece,Yes,No stock-out,,0.0,Stock-out at the source/KADHSMA,27.0,10.0,Free MNCH,Yes
KD-001-R1,Magnesium Sulphate Injection,Maternal,ampoule,Yes,No stock-out,,0.0,Stock-out at the source/KADHSMA,33.0,4.0,Free MNCH,Yes
KD-001-R1,Folic Acid,Maternal,tablet,Yes,No stock-out,,0.0,Stock-out at the source/KADHSMA,1288.0,532.0,Free MNCH,No
KD-001-R1,Sulphadoxine + Pyrimethamine,Maternal,tablet,Yes,No stock-out,,0.0,Stock-out at the source/KADHSMA,390.0,151.0,Free MNCH,Yes
KD-001-R1,Ferrous Sulphate,Maternal,tablet,Yes,1 to 4 weeks,Expired or damaged stock not replaced,0.0,Stock-out at the source/KADHSMA,1229.0,0.0,Zipline,No
KD-001-R1,Paracetamol Tablet,General,tablet,Yes,No stock-out,,0.0,Stock-out at the source/KADHSMA,2226.0,296.0,Free MNCH,No
KD-001-R1,Amoxicillin Capsule,General,capsule,Yes,No stock-out,,0.0,Stock-out at the source/KADHSMA,1054.0,280.0,Free MNCH,Yes
KD-001-R1,Ibuprofen Tablet,General,tablet,Yes,No stock-out,,0.0,Delivery delay,816.0,330.0,Free MNCH,Yes
KD-001-R1,Artemether Injection,General,ampoule,Yes,No stock-out,,0.0,Stock-out at the source/KADHSMA,59.0,21.0,Free MNCH,Yes
KD-001-R1,Amoxicillin Dispersible,Child,bottle,Yes,No stock-out,,0.0,Delivery delay,75.0,68.0,Free MNCH,Yes
KD-001-R1,Zinc,Child,tablet,Yes,No stock-out,,0.0,Delivery delay,421.0,256.0,Free MNCH,Yes
KD-001-R1,ORS,Child,sachet,Yes,1 to 4 weeks,Requisition not submitted or submitted late,0.0,Stock-out at the source/KADHSMA,392.0,0.0,Free MNCH,No
KD-001-R1,Paracetamol Syrup,Child,bottle,Yes,No stock-out,,0.0,Stock-out at the source/KADHSMA,144.0,15.0,Donations,Yes
KD-001-R1,Ibuprofen Suspension,Child,bottle,Yes,No stock-out,,32.0,,52.0,54.0,Free MNCH,Yes
KD-001-R1,Chlorhexidine Gel,Child,tube,Yes,Less than 1 week,Incomplete fulfillment of requisition,0.0,Stock-out at the source/KADHSMA,52.0,0.0,Free MNCH,No
KD-001-R1,Artemether + Lumefantrine,General,pack,Yes,No stock-out,,198.0,,313.0,443.0,Free MNCH,Yes
KD-001-R1,Injectable Contraceptives,Family Planning,ampoule,Yes,No stock-out,,45.0,,80.0,50.0,Federal Government,Yes
KD-001-R1,Implants,Family Planning,piece,Yes,1 to 4 weeks,Stock-out at LGA/state/central supply level,0.0,Delivery delay,18.0,0.0,Federal Government,No
KD-001-R2,Oxytocin,Maternal,ampoule,Yes,No stock-out,,34.0,,64.0,33.0,Free MNCH,Yes
KD-001-R2,Misoprostol,Maternal,tablet,Yes,1 to 4 weeks,Expired or damaged stock not replaced,0.0,Stock-out at the source/KADHSMA,153.0,0.0,Free MNCH,No
KD-001-R2,Tranexamic Acid Injection,Maternal,ampoule,Yes,No stock-out,,0.0,Stock-out at the source/KADHSMA,19.0,8.0,Free MNCH,Yes
KD-001-R2,IV Fluids,Maternal,bag,Yes,No stock-out,,61.0,,100.0,26.0,Free MNCH,Yes
KD-001-R2,Giving Sets,Maternal,piece,Yes,No stock-out,,69.0,,99.0,51.0,Free MNCH,Yes
KD-001-R2,Calibrated Blood Collection Drape,Maternal,piece,Yes,No stock-out,,0.0,Stock-out at the source/KADHSMA,31.0,2.0,Free MNCH,Yes
KD-001-R2,Magnesium Sulphate Injection,Maternal,ampoule,Yes,1 to 4 weeks,Stock-out at LGA/state/central supply level,0.0,Stock-out at the source/KADHSMA,32.0,0.0,Free MNCH,No
KD-001-R2,Folic Acid,Maternal,tablet,Yes,No stock-out,,0.0,Transportation challenges,1332.0,84.0,Federal Government,Yes
KD-001-R2,Sulphadoxine + Pyrimethamine,Maternal,tablet,Yes,No stock-out,,242.0,,364.0,271.0,Free MNCH,Yes
KD-001-R2,Ferrous Sulphate,Maternal,tablet,Yes,No stock-out,,793.0,,1399.0,300.0,Free MNCH,Yes
KD-001-R2,Paracetamol Tablet,General,tablet,Yes,No stock-out,,1081.0,,1850.0,758.0,Federal Government,Yes
KD-001-R2,Amoxicillin Capsule,General,capsule,Yes,No stock-out,,737.0,,1319.0,582.0,KDHSMA,Yes
KD-001-R2,Ibuprofen Tablet,General,tablet,Yes,No stock-out,,439.0,,763.0,515.0,Free MNCH,Yes
KD-001-R2,Artemether Injection,General,ampoule,Yes,No stock-out,,53.0,,58.0,57.0,Free MNCH,Yes
KD-001-R2,Amoxicillin Dispersible,Child,bottle,Yes,No stock-out,,0.0,Stock-out at the source/KADHSMA,87.0,43.0,Donations,Yes
KD-001-R2,Zinc,Child,tablet,Yes,No stock-out,,0.0,Stock-out at the source/KADHSMA,508.0,72.0,Free MNCH,Yes
KD-001-R2,ORS,Child,sachet,Yes,1 to 4 weeks,Stock-out at LGA/state/central supply level,0.0,Stock-out at the source/KADHSMA,344.0,0.0,Free MNCH,No
KD-001-R2,Paracetamol Syrup,Child,bottle,Yes,1 to 4 weeks,Stock-out at LGA/state/central supply level,0.0,Delivery delay,129.0,0.0,Free MNCH,No
KD-001-R2,Ibuprofen Suspension,Child,bottle,Yes,No stock-out,,0.0,Delivery delay,61.0,35.0,Free MNCH,No
KD-001-R2,Chlorhexidine Gel,Child,tube,Yes,1 to 4 weeks,High demand or unexpected increase in consumption,0.0,Delivery delay,40.0,0.0,Free MNCH,No
KD-001-R2,Artemether + Lumefantrine,General,pack,Yes,No stock-out,,0.0,Stock-out at the source/KADHSMA,351.0,334.0,Free MNCH,Yes
KD-001-R2,Injectable Contraceptives,Family Planning,ampoule,Yes,No stock-out,,65.0,,103.0,81.0,Federal Government,Yes
KD-001-R2,Implants,Family Planning,piece,Yes,1 to 4 weeks,Requisition not submitted or submitted late,0.0,Stock-out at the source/KADHSMA,26.0,0.0,Free MNCH,No
KD-001-R3,Oxytocin,Maternal,ampoule,Yes,No stock-out,,0.0,Other,59.0,14.0,Free MNCH,Yes
KD-001-R3,Misoprostol,Maternal,tablet,Yes,1 to 4 weeks,Given a non-requisitioned essential medicine or commodity,0.0,Stock-out at the source/KADHSMA,153.0,0.0,KDHSMA,No
KD-001-R3,Tranexamic Acid Injection,Maternal,ampoule,Yes,No stock-out,,10.0,,18.0,10.0,Zipline,Yes
KD-001-R3,IV Fluids,Maternal,bag,Yes,No stock-out,,50.0,,81.0,47.0,Free MNCH,Yes
KD-001-R3,Giving Sets,Maternal,piece,Yes,No stock-out,,58.0,,77.0,87.0,Open Market,Yes
KD-001-R3,Calibrated Blood Collection Drape,Maternal,piece,Yes,No stock-out,,20.0,,29.0,12.0,Free MNCH,Yes
KD-001-R3,Magnesium Sulphate Injection,Maternal,ampoule,Yes,No stock-out,,22.0,,35.0,11.0,Free MNCH,Yes
KD-001-R3,Folic Acid,Maternal,tablet,Yes,1 to 4 weeks,Stock-out at LGA/state/central supply level,0.0,Stock-out at the source/KADHSMA,1318.0,0.0,KDHSMA,No
KD-001-R3,Sulphadoxine + Pyrimethamine,Maternal,tablet,Yes,No stock-out,,0.0,Stock-out at the source/KADHSMA,422.0,122.0,Free MNCH,Yes
KD-001-R3,Ferrous Sulphate,Maternal,tablet,Yes,No stock-out,,796.0,,1353.0,637.0,Free MNCH,Yes
KD-001-R3,Paracetamol Tablet,General,tablet,Yes,No stock-out,,1281.0,,2183.0,1307.0,Free MNCH,Yes
KD-001-R3,Amoxicillin Capsule,General,capsule,Yes,No stock-out,,0.0,Stock-out at the source/KADHSMA,1413.0,85.0,Free MNCH,Yes
KD-001-R3,Ibuprofen Tablet,General,tablet,Yes,No stock-out,,0.0,Transportation challenges,845.0,233.0,Free MNCH,Yes
KD-001-R3,Artemether Injection,General,ampoule,Yes,No stock-out,,0.0,Stock-out at the source/KADHSMA,57.0,38.0,Free MNCH,Yes
KD-001-R3,Amoxicillin Dispersible,Child,bottle,Yes,No stock-out,,0.0,Delivery delay,88.0,15.0,Free MNCH,Yes
KD-001-R3,Zinc,Child,tablet,Yes,No stock-out,,320.0,,526.0,210.0,Free MNCH,No
KD-001-R3,ORS,Child,sachet,Yes,No stock-out,,188.0,,320.0,76.0,Free MNCH,Yes
KD-001-R3,Paracetamol Syrup,Child,bottle,Yes,More than 4 weeks,Delay in delivery or distribution,0.0,Stock-out at the source/KADHSMA,133.0,0.0,NGO,No
KD-001-R3,Ibuprofen Suspension,Child,bottle,Yes,No stock-out,,46.0,,67.0,60.0,Free MNCH,Yes
KD-001-R3,Chlorhexidine Gel,Child,tube,Yes,No stock-out,,25.0,,41.0,13.0,Free MNCH,Yes
KD-001-R3,Artemether + Lumefantrine,General,pack,Yes,No stock-out,,174.0,,269.0,419.0,Free MNCH,Yes
KD-001-R3,Injectable Contraceptives,Family Planning,ampoule,Yes,No stock-out,,38.0,,78.0,93.0,Federal Government,Yes
KD-001-R3,Implants,Family Planning,piece,Yes,1 to 4 weeks,Stock-out at LGA/state/central supply level,0.0,Stock-out at the source/KADHSMA,23.0,0.0,Federal Government,No
KD-001-R4,Oxytocin,Maternal,ampoule,Yes,No stock-out,,45.0,,69.0,36.0,Free MNCH,Yes
KD-001-R4,Misoprostol,Maternal,tablet,Yes,1 to 4 weeks,Insufficient funds for procurement,0.0,Stock-out at the source/KADHSMA,215.0,0.0,NGO,No
KD-001-R4,Tranexamic Acid Injection,Maternal,ampoule,Yes,No stock-out,,0.0,Stock-out at the source/KADHSMA,21.0,4.0,Free MNCH,Yes
KD-001-R4,IV Fluids,Maternal,bag,Yes,No stock-out,,49.0,,102.0,61.0,Free MNCH,Yes
KD-001-R4,Giving Sets,Maternal,piece,Yes,No stock-out,,0.0,Stock-out at the source/KADHSMA,96.0,57.0,NGO,Yes
KD-001-R4,Calibrated Blood Collection Drape,Maternal,piece,Yes,No stock-out,,0.0,Stock-out at the source/KADHSMA,36.0,1.0,Free MNCH,Yes
KD-001-R4,Magnesium Sulphate Injection,Maternal,ampoule,Yes,No stock-out,,19.0,,35.0,16.0,Free MNCH,Yes
KD-001-R4,Folic Acid,Maternal,tablet,Yes,1 to 4 weeks,Expired or damaged stock not replaced,0.0,Stock-out at the source/KADHSMA,1393.0,0.0,Federal Government,No
KD-001-R4,Sulphadoxine + Pyrimethamine,Maternal,tablet,Yes,No stock-out,,221.0,,373.0,229.0,Free MNCH,Yes
KD-001-R4,Ferrous Sulphate,Maternal,tablet,Yes,No stock-out,,831.0,,1461.0,981.0,Free MNCH,Yes
KD-001-R4,Paracetamol Tablet,General,tablet,Yes,No stock-out,,1254.0,,2090.0,1844.0,Free MNCH,Yes
KD-001-R4,Amoxicillin Capsule,General,capsule,Yes,No stock-out,,753.0,,1282.0,380.0,Free MNCH,Yes
KD-001-R4,Ibuprofen Tablet,General,tablet,Yes,Less than 1 week,High demand or unexpected increase in consumption,0.0,Other,829.0,0.0,Free MNCH,No
KD-001-R4,Artemether Injection,General,ampoule,Yes,No stock-out,,41.0,,67.0,57.0,Free MNCH,Yes
KD-001-R4,Amoxicillin Dispersible,Child,bottle,Yes,No stock-out,,58.0,,88.0,35.0,Free MNCH,Yes
KD-001-R4,Zinc,Child,tablet,Yes,No stock-out,,283.0,,508.0,326.0,Free MNCH,Yes
KD-001-R4,ORS,Child,sachet,Yes,Less than 1 week,Expired or damaged stock not replaced,0.0,Transportation challenges,321.0,0.0,Free MNCH,No
KD-001-R4,Paracetamol Syrup,Child,bottle,Yes,More than 4 weeks,Stock-out at LGA/state/central supply level,0.0,Delivery delay,123.0,0.0,Free MNCH,No
KD-001-R4,Ibuprofen Suspension,Child,bottle,Yes,No stock-out,,0.0,Delivery delay,70.0,39.0,Free MNCH,Yes
KD-001-R4,Chlorhexidine Gel,Child,tube,Yes,No stock-out,,33.0,,52.0,31.0,Free MNCH,Yes
KD-001-R4,Artemether + Lumefantrine,General,pack,Yes,No stock-out,,183.0,,352.0,490.0,KDHSMA,Yes
KD-001-R4,Injectable Contraceptives,Family Planning,ampoule,Yes,No stock-out,,56.0,,91.0,118.0,Federal Government,Yes
KD-001-R4,Implants,Family Planning,piece,Yes,More than 4 weeks,Expired or damaged stock not replaced,0.0,Delivery delay,18.0,0.0,Free MNCH,No
KD-001-R5,Oxytocin,Maternal,ampoule,Yes,No stock-out,,33.0,,57.0,49.0,Free MNCH,No
KD-001-R5,Misoprostol,Maternal,tablet,Yes,No stock-out,,95.0,,150.0,38.0,Free MNCH,Yes
KD-001-R5,Tranexamic Acid Injection,Maternal,ampoule,Yes,No stock-out,,11.0,,19.0,10.0,Free MNCH,Yes
KD-001-R5,IV Fluids,Maternal,bag,Yes,No stock-out,,45.0,,92.0,77.0,KDHSMA,Yes
KD-001-R5,Giving Sets,Maternal,piece,Yes,No stock-out,,43.0,,78.0,77.0,Free MNCH,Yes
KD-001-R5,Calibrated Blood Collection Drape,Maternal,piece,Yes,1 to 4 weeks,Expired or damaged stock not replaced,0.0,Delivery delay,35.0,0.0,Free MNCH,No
KD-001-R5,Magnesium Sulphate Injection,Maternal,ampoule,Yes,No stock-out,,0.0,Transportation challenges,24.0,11.0,Open Market,No
KD-001-R5,Folic Acid,Maternal,tablet,Yes,No stock-out,,884.0,,1594.0,344.0,Zipline,Yes
KD-001-R5,Sulphadoxine + Pyrimethamine,Maternal,tablet,Yes,No stock-out,,0.0,Delivery delay,521.0,49.0,Open Market,Yes
