sheet,column,questionnaire_module,dtype,non_null,distinct_values,example
facilities,facility_id,Module 1,str,184,184,KD-001
facilities,facility_name,Module 1,str,184,152,Kudan Rimi PHC
facilities,facility_alternate_name,Module 1,str,184,11,Kasuwan Clinic
facilities,lga,Module 1,str,184,23,Birnin Gwari
facilities,ward,Module 1,str,184,58,Sabon Kanawa
facilities,facility_type,Module 1,str,184,4,Primary Health Centre
facilities,urban_rural,Module 1,str,184,2,Rural
facilities,security_risk_lga,Module 1,bool,184,2,True
facilities,latitude,Module 1,float64,184,184,10.77593
facilities,longitude,Module 1,float64,184,184,6.49
facilities,distance_to_lga_hq_km,Module 1,float64,184,88,9.9
facilities,facility_phone,Module 1,str,184,184,08199076254
facilities,data_champion,Module 1,str,184,43,Bala Danladi
facility_visits,visit_id,Modules 1-3,str,1104,1104,KD-001-R1
facility_visits,facility_id,Modules 1-3,str,1104,184,KD-001
facility_visits,round_number,Modules 1-3,int64,1104,6,1
facility_visits,round_name,Modules 1-3,str,1104,6,Baseline
facility_visits,visit_date,Modules 1-3,str,1104,24,2026-03-02
facility_visits,data_champion,Modules 1-3,str,1104,43,Bala Danladi
facility_visits,respondent_name,Modules 1-3,str,1104,136,Zainab Ishaya
facility_visits,respondent_cadre,Modules 1-3,str,1104,7,Pharmacy Technician
facility_visits,respondent_position,Modules 1-3,str,1104,5,OIC
facility_visits,hours_of_operation,Modules 1-3,str,1104,4,24 hours
facility_visits,days_open_per_week,Modules 1-3,int64,1104,3,7
facility_visits,facility_open_on_arrival,Modules 1-3,str,1104,2,No
facility_visits,arrival_time,Modules 1-3,str,1104,174,10:13
facility_visits,facility_opened_time,Modules 1-3,str,220,140,11:41
facility_visits,wait_minutes,Modules 1-3,int64,1104,97,41
facility_visits,reason_closed_on_arrival,Modules 1-3,str,220,7,Staff at LGA meeting or training
facility_visits,can_refer_emergencies,Modules 1-3,str,1104,2,Yes
facility_visits,emergency_transport_available_2wks,Modules 1-3,str,863,2,No
facility_visits,total_staff,Modules 1-3,int64,1104,85,28
facility_visits,permanent_staff,Modules 1-3,int64,1104,66,18
facility_visits,adhoc_a_staff,Modules 1-3,int64,1104,14,3
facility_visits,adhoc_b_staff,Modules 1-3,int64,1104,10,1
facility_visits,volunteer_staff,Modules 1-3,int64,1104,11,5
