facility_id,facility_name,facility_alternate_name,lga,ward,facility_type,urban_rural,security_risk_lga,latitude,longitude,distance_to_lga_hq_km,facility_phone,data_champion
KD-001,Kudan Rimi PHC,Kasuwan Clinic,Birnin Gwari,Sabon Kanawa,Primary Health Centre,Rural,True,10.77593,6.49,9.9,08199076254,Bala Danladi
KD-002,Maraban Sarki PHC,Angwan Clinic,Birnin Gwari,Sabon Kanawa,Primary Health Centre,Rural,True,10.59711,6.74291,3.0,08012126918,Aisha Ochigbo
KD-003,Badarawa Fada PHC,None,Birnin Gwari,Dutsen Gari,Primary Health Centre,Rural,True,10.66516,6.58189,4.3,08125521525,Danjuma Lawal
KD-004,Tudun Kanawa GH,Rafin Clinic,Birnin Gwari,Dutsen Gari,General Hospital,Rural,True,10.84299,6.50559,7.6,07023065633,Musa Ishaya
KD-005,Kudan Kaji PHC,None,Birnin Gwari,Sabon Kanawa,Primary Health Centre,Rural,True,10.70655,6.58386,3.7,08117551844,Halima Ishaya
KD-006,Rigasa Dan Gama BHC,None,Birnin Gwari,Dutsen Gari,Basic Health Centre,Rural,True,10.76067,6.49875,14.6,09040234736,Rahila Tanko
KD-007,Maraban Sarki GH,None,Birnin Gwari,Angwan Kaji,General Hospital,Rural,True,10.73367,6.40816,4.0,08146842492,Ruth Yakubu
KD-008,Kudan Wada PHC,Kofar Clinic,Birnin Gwari,Dutsen Gari,Primary Health Centre,Rural,True,10.79974,6.67944,13.5,09070118192,Ruth Danladi
KD-009,Zango Gari BHC,None,Chikun,Tudun Kanawa,Basic Health Centre,Urban,True,10.58972,7.21717,3.2,08072009776,Bala Ochigbo
KD-010,Narayi Wada GH,Kasuwan Clinic,Chikun,Tudun Fada,General Hospital,Urban,True,10.3539,7.47305,4.8,08072043756,Musa Haruna
KD-011,Sabon Fada BHC,None,Chikun,Sabon Gari,Basic Health Centre,Urban,True,10.31696,7.40203,1.4,09175021455,Ibrahim Zakari
