visit_id,service,offered,dedicated_days,all_planned_sessions_conducted,reason_not_conducted
KD-001-R1,Immunization,Yes,MTWTF,No,Weather or environmental conditions
KD-001-R1,Nutrition,Yes,Specific days,No,"Staff unavailable (leave, redeployment, strike)"
KD-001-R1,Antenatal Care,Yes,MTWTF,No,"Staff unavailable (leave, redeployment, strike)"
KD-001-R1,Postnatal Care,Yes,MTWTFSS,Yes,
KD-001-R1,IMCI,Yes,MTWTF,Yes,
KD-001-R1,Malaria,Yes,Specific days,Yes,
KD-001-R1,Labour and Delivery,Yes,MTWTF,Yes,
KD-001-R1,Family Planning,Yes,Specific days,Yes,
KD-001-R2,Immunization,Yes,Specific days,Yes,
KD-001-R2,Nutrition,Yes,Specific days,No,"Security concerns (insecurity, movement restrictions)"
KD-001-R2,Antenatal Care,Yes,MTWTFSS,Yes,
KD-001-R2,Postnatal Care,Yes,On needs basis,Yes,
KD-001-R2,IMCI,Yes,MTWTFSS,Yes,
KD-001-R2,Malaria,Yes,Specific days,Yes,
KD-001-R2,Labour and Delivery,Yes,MTWTF,Yes,
KD-001-R2,Family Planning,Yes,MTWTF,Yes,
KD-001-R3,Immunization,Yes,Specific days,No,"Facility closed (holiday, strike, renovation)"
KD-001-R3,Nutrition,Yes,MTWTF,Yes,
KD-001-R3,Antenatal Care,Yes,Specific days,Yes,
KD-001-R3,Postnatal Care,Yes,MTWTFSS,Yes,
KD-001-R3,IMCI,Yes,On needs basis,No,"Attending training, meeting, or other official assignment"
KD-001-R3,Malaria,Yes,Specific days,Yes,
KD-001-R3,Labour and Delivery,Yes,Specific days,Yes,
KD-001-R3,Family Planning,Yes,Specific days,Yes,
KD-001-R4,Immunization,Yes,Specific days,Yes,
KD-001-R4,Nutrition,Yes,MTWTF,Yes,
KD-001-R4,Antenatal Care,Yes,MTWTF,Yes,
KD-001-R4,Postnatal Care,Yes,MTWTFSS,Yes,
KD-001-R4,IMCI,Yes,On needs basis,No,"Attending training, meeting, or other official assignment"
KD-001-R4,Malaria,Yes,MTWTF,Yes,
KD-001-R4,Labour and Delivery,Yes,Specific days,Yes,
KD-001-R4,Family Planning,Yes,MTWTF,Yes,
KD-001-R5,Immunization,Yes,MTWTF,Yes,
KD-001-R5,Nutrition,Yes,MTWTFSS,Yes,
KD-001-R5,Antenatal Care,Yes,MTWTF,Yes,
KD-001-R5,Postnatal Care,Yes,MTWTF,No,"Facility closed (holiday, strike, renovation)"
KD-001-R5,IMCI,Yes,MTWTF,Yes,
KD-001-R5,Malaria,Yes,Specific days,Yes,
KD-001-R5,Labour and Delivery,Yes,Specific days,Yes,
KD-001-R5,Family Planning,Yes,Specific days,Yes,
KD-001-R6,Immunization,Yes,MTWTF,No,Vaccine stock-out
KD-001-R6,Nutrition,Yes,Specific days,Yes,
KD-001-R6,Antenatal Care,Yes,MTWTF,Yes,
KD-001-R6,Postnatal Care,Yes,Specific days,Yes,
KD-001-R6,IMCI,Yes,MTWTFSS,Yes,
KD-001-R6,Malaria,Yes,Specific days,Yes,
KD-001-R6,Labour and Delivery,Yes,Specific days,Yes,
KD-001-R6,Family Planning,Yes,Specific days,Yes,
KD-002-R1,Immunization,No,,,
KD-002-R1,Nutrition,Yes,Specific days,Yes,
KD-002-R1,Antenatal Care,Yes,MTWTFSS,Yes,
KD-002-R1,Postnatal Care,Yes,Specific days,Yes,
KD-002-R1,IMCI,Yes,Specific days,Yes,
KD-002-R1,Malaria,Yes,Specific days,Yes,
KD-002-R1,Labour and Delivery,Yes,Specific days,Yes,
KD-002-R1,Family Planning,Yes,MTWTFSS,Yes,
KD-002-R2,Immunization,No,,,
KD-002-R2,Nutrition,Yes,Specific days,Yes,
KD-002-R2,Antenatal Care,Yes,Specific days,Yes,
KD-002-R2,Postnatal Care,Yes,Specific days,Yes,
KD-002-R2,IMCI,Yes,MTWTF,Yes,
KD-002-R2,Malaria,Yes,Specific days,Yes,
KD-002-R2,Labour and Delivery,Yes,Specific days,Yes,
KD-002-R2,Family Planning,Yes,MTWTF,Yes,
KD-002-R3,Immunization,No,,,
KD-002-R3,Nutrition,Yes,Specific days,Yes,
KD-002-R3,Antenatal Care,Yes,MTWTFSS,Yes,
KD-002-R3,Postnatal Care,Yes,MTWTF,Yes,
KD-002-R3,IMCI,Yes,MTWTF,Yes,
KD-002-R3,Malaria,Yes,MTWTF,Yes,
KD-002-R3,Labour and Delivery,Yes,Specific days,Yes,
KD-002-R3,Family Planning,Yes,Specific days,Yes,
KD-002-R4,Immunization,No,,,
KD-002-R4,Nutrition,Yes,MTWTF,Yes,
KD-002-R4,Antenatal Care,Yes,Specific days,Yes,
KD-002-R4,Postnatal Care,Yes,MTWTFSS,Yes,
KD-002-R4,IMCI,Yes,Specific days,Yes,
KD-002-R4,Malaria,Yes,Specific days,Yes,
KD-002-R4,Labour and Delivery,Yes,MTWTF,Yes,
KD-002-R4,Family Planning,Yes,MTWTFSS,Yes,
KD-002-R5,Immunization,No,,,
KD-002-R5,Nutrition,Yes,Specific days,Yes,
KD-002-R5,Antenatal Care,Yes,Specific days,Yes,
KD-002-R5,Postnatal Care,Yes,Specific days,Yes,
KD-002-R5,IMCI,Yes,MTWTFSS,Yes,
KD-002-R5,Malaria,Yes,MTWTF,Yes,
KD-002-R5,Labour and Delivery,Yes,MTWTFSS,Yes,
KD-002-R5,Family Planning,Yes,Specific days,Yes,
KD-002-R6,Immunization,No,,,
KD-002-R6,Nutrition,Yes,Specific days,No,"Attending training, meeting, or other official assignment"
KD-002-R6,Antenatal Care,Yes,Specific days,Yes,
KD-002-R6,Postnatal Care,Yes,MTWTFSS,No,"Staff unavailable (leave, redeployment, strike)"
KD-002-R6,IMCI,Yes,On needs basis,Yes,
KD-002-R6,Malaria,Yes,Specific days,Yes,
KD-002-R6,Labour and Delivery,Yes,Specific days,Yes,
KD-002-R6,Family Planning,Yes,Specific days,Yes,
KD-003-R1,Immunization,Yes,Specific days,Yes,
KD-003-R1,Nutrition,Yes,MTWTFSS,Yes,
KD-003-R1,Antenatal Care,Yes,MTWTFSS,Yes,
KD-003-R1,Postnatal Care,Yes,MTWTFSS,Yes,
KD-003-R1,IMCI,Yes,On needs basis,Yes,
KD-003-R1,Malaria,Yes,Specific days,Yes,
KD-003-R1,Labour and Delivery,Yes,Specific days,Yes,
KD-003-R1,Family Planning,Yes,MTWTFSS,Yes,
KD-003-R2,Immunization,Yes,Specific days,Yes,
KD-003-R2,Nutrition,Yes,Specific days,Yes,
KD-003-R2,Antenatal Care,Yes,MTWTFSS,Yes,
KD-003-R2,Postnatal Care,Yes,On needs basis,Yes,
KD-003-R2,IMCI,Yes,MTWTF,Yes,
KD-003-R2,Malaria,Yes,MTWTF,Yes,
KD-003-R2,Labour and Delivery,Yes,MTWTF,No,"Staff unavailable (leave, redeployment, strike)"
KD-003-R2,Family Planning,Yes,MTWTF,Yes,
KD-003-R3,Immunization,Yes,MTWTFSS,Yes,
KD-003-R3,Nutrition,Yes,Specific days,Yes,
KD-003-R3,Antenatal Care,Yes,MTWTFSS,Yes,
KD-003-R3,Postnatal Care,Yes,Specific days,Yes,
KD-003-R3,IMCI,Yes,MTWTFSS,Yes,
KD-003-R3,Malaria,Yes,MTWTFSS,Yes,
KD-003-R3,Labour and Delivery,Yes,MTWTF,Yes,
KD-003-R3,Family Planning,Yes,Specific days,Yes,
KD-003-R4,Immunization,Yes,MTWTF,Yes,
KD-003-R4,Nutrition,Yes,MTWTF,Yes,
