visit_id,cadre,total_staff,permanent,adhoc_a,adhoc_b,volunteer,scheduled_morning,scheduled_afternoon,scheduled_evening,scheduled_off,scheduled_leave,present_today,permanent_present_today,permanent_absent_unscheduled
KD-001-R1,Medical Officer,2,1,1,0,0,1,0,0,0,0,1,1,0
KD-001-R1,Nurse/Midwife,5,3,1,0,1,2,0,1,0,0,4,3,0
KD-001-R1,CHO,1,1,0,0,0,1,0,0,0,0,0,0,1
KD-001-R1,CHEW,7,4,1,0,2,2,1,1,0,0,5,3,1
KD-001-R1,JCHEW,5,4,0,1,0,2,0,1,1,0,1,1,2
KD-001-R1,Medical Lab Technician,0,0,0,0,0,0,0,0,0,0,0,0,0
KD-001-R1,Medical Records Officer,2,1,0,0,1,1,0,0,0,0,2,1,0
KD-001-R1,Pharmacy Technician,1,1,0,0,0,0,0,0,0,1,0,0,0
KD-001-R1,Environmental Health Officer,0,0,0,0,0,0,0,0,0,0,0,0,0
KD-001-R2,Medical Officer,2,1,1,0,0,1,0,0,0,0,1,0,1
KD-001-R2,Nurse/Midwife,5,3,1,0,1,2,0,0,0,1,3,1,1
KD-001-R2,CHO,1,1,0,0,0,1,0,0,0,0,1,1,0
KD-001-R2,CHEW,7,4,1,0,2,2,0,1,0,1,4,2,1
KD-001-R2,JCHEW,5,4,0,1,0,2,1,1,0,0,1,1,3
KD-001-R2,Medical Lab Technician,0,0,0,0,0,0,0,0,0,0,0,0,0
KD-001-R2,Medical Records Officer,2,1,0,0,1,1,0,0,0,0,0,0,1
KD-001-R2,Pharmacy Technician,1,1,0,0,0,1,0,0,0,0,1,1,0
KD-001-R2,Environmental Health Officer,0,0,0,0,0,0,0,0,0,0,0,0,0
KD-001-R3,Medical Officer,2,1,1,0,0,1,0,0,0,0,2,1,0
KD-001-R3,Nurse/Midwife,5,3,1,0,1,2,0,1,0,0,4,2,1
KD-001-R3,CHO,1,1,0,0,0,1,0,0,0,0,1,1,0
KD-001-R3,CHEW,7,4,1,0,2,2,1,1,0,0,5,3,1
KD-001-R3,JCHEW,5,4,0,1,0,2,0,1,1,0,2,2,1
KD-001-R3,Medical Lab Technician,0,0,0,0,0,0,0,0,0,0,0,0,0
