visit_id,facility_id,training
KD-001-R1,KD-001,Postpartum Family Planning
KD-001-R1,KD-001,Vaccine Management
KD-001-R1,KD-001,IMCI
KD-001-R1,KD-001,Nutrition / IYCF
KD-001-R1,KD-001,Infection Prevention and Control
KD-003-R1,KD-003,Basic Emergency Obstetric and Newborn Care
KD-003-R1,KD-003,Modified Life Saving Skills
KD-003-R1,KD-003,Family Planning (LARC)
KD-003-R1,KD-003,Vaccine Management
KD-003-R1,KD-003,"New Vaccine Introduction (HPV, MR)"
KD-003-R1,KD-003,Data Management (DHIS2)
KD-004-R1,KD-004,Basic Emergency Obstetric and Newborn Care
KD-004-R1,KD-004,Modified Life Saving Skills
KD-004-R1,KD-004,Post Abortion Care
KD-004-R1,KD-004,Postpartum Family Planning
KD-004-R1,KD-004,RI Refresher Training Modules
KD-004-R1,KD-004,Vaccine Management
KD-004-R1,KD-004,IMCI
KD-004-R1,KD-004,Nutrition / IYCF
KD-004-R1,KD-004,Malaria Case Management
KD-004-R1,KD-004,Data Management (DHIS2)
KD-004-R1,KD-004,Infection Prevention and Control
KD-005-R1,KD-005,Family Planning (Short term)
KD-005-R1,KD-005,"New Vaccine Introduction (HPV, MR)"
KD-005-R1,KD-005,Nutrition / IYCF
KD-005-R1,KD-005,Infection Prevention and Control
KD-006-R1,KD-006,Vaccine Management
KD-006-R1,KD-006,Malaria Case Management
KD-007-R1,KD-007,Life Saving Skills
KD-007-R1,KD-007,Basic Emergency Obstetric and Newborn Care
KD-007-R1,KD-007,Family Planning (LARC)
KD-007-R1,KD-007,Postpartum Family Planning
KD-007-R1,KD-007,RI Refresher Training Modules
KD-007-R1,KD-007,Vaccine Management
KD-008-R1,KD-008,Life Saving Skills
KD-008-R1,KD-008,Modified Life Saving Skills
KD-008-R1,KD-008,Postpartum Family Planning
KD-008-R1,KD-008,"New Vaccine Introduction (HPV, MR)"
KD-008-R1,KD-008,IMCI
KD-008-R1,KD-008,Nutrition / IYCF
KD-008-R1,KD-008,Infection Prevention and Control
KD-009-R1,KD-009,Modified Life Saving Skills
KD-009-R1,KD-009,Post Abortion Care
KD-009-R1,KD-009,RI Refresher Training Modules
KD-009-R1,KD-009,"New Vaccine Introduction (HPV, MR)"
KD-009-R1,KD-009,Infection Prevention and Control
KD-012-R1,KD-012,Family Planning (LARC)
KD-012-R1,KD-012,Infection Prevention and Control
KD-013-R1,KD-013,Life Saving Skills
KD-013-R1,KD-013,Basic Emergency Obstetric and Newborn Care
KD-013-R1,KD-013,Postpartum Family Planning
KD-013-R1,KD-013,Malaria Case Management
KD-013-R1,KD-013,Infection Prevention and Control
KD-014-R1,KD-014,Basic Emergency Obstetric and Newborn Care
KD-014-R1,KD-014,Family Planning (Short term)
KD-014-R1,KD-014,Postpartum Family Planning
KD-014-R1,KD-014,RI Refresher Training Modules
KD-014-R1,KD-014,"New Vaccine Introduction (HPV, MR)"
KD-014-R1,KD-014,Malaria Case Management
KD-015-R1,KD-015,Life Saving Skills
KD-015-R1,KD-015,Post Abortion Care
KD-015-R1,KD-015,Vaccine Management
KD-015-R1,KD-015,Malaria Case Management
KD-015-R1,KD-015,Data Management (DHIS2)
KD-016-R1,KD-016,Basic Emergency Obstetric and Newborn Care
KD-016-R1,KD-016,IMCI
KD-016-R1,KD-016,Nutrition / IYCF
KD-017-R1,KD-017,Basic Emergency Obstetric and Newborn Care
KD-017-R1,KD-017,Family Planning (LARC)
KD-017-R1,KD-017,RI Refresher Training Modules
KD-018-R1,KD-018,Family Planning (LARC)
KD-018-R1,KD-018,Postpartum Family Planning
KD-019-R1,KD-019,Basic Emergency Obstetric and Newborn Care
