visit_id,vaccine,in_stock,opening_balance_doses,doses_received,current_balance_doses,doses_used,supplier,physically_verified,most_dispensed_this_week,reason_most_dispensed
KD-001-R1,BCG,No,0,0,0,0,KDHSMA,No,Yes,Outreach session held this week
KD-001-R1,HPV,No,13,0,0,13,LGA,No,Yes,School-based session (HPV)
KD-001-R1,IPV,Yes,24,0,8,16,Zipline,No,No,
KD-001-R1,MR,Yes,17,0,1,16,LGA,Yes,Yes,School-based session (HPV)
KD-001-R1,MEN A,No,0,0,0,0,LGA,No,Yes,Scheduled routine immunization session
KD-001-R1,MCV,Yes,23,34,41,16,Zipline,Yes,Yes,Scheduled routine immunization session
KD-001-R1,OPV,Yes,121,88,170,39,LGA,Yes,No,
KD-001-R1,YF,Yes,13,0,1,12,LGA,Yes,No,
KD-001-R1,PENTA,Yes,97,68,106,59,LGA,No,Yes,Scheduled routine immunization session
KD-001-R1,ROTA,No,28,0,0,28,LGA,No,Yes,Scheduled routine immunization session
KD-001-R1,PCV,Yes,33,73,60,46,LGA,Yes,Yes,Scheduled routine immunization session
KD-001-R2,BCG,Yes,0,26,8,18,LGA,Yes,No,
KD-001-R2,HPV,No,0,0,0,0,Zipline,No,Yes,Catch-up campaign
KD-001-R2,IPV,Yes,8,36,17,27,LGA,Yes,Yes,Outreach session held this week
KD-001-R2,MR,Yes,1,24,12,13,LGA,Yes,No,
KD-001-R2,MEN A,No,0,13,0,13,KDHSMA,No,Yes,Scheduled routine immunization session
KD-001-R2,MCV,Yes,41,0,24,17,LGA,Yes,Yes,Scheduled routine immunization session
KD-001-R2,OPV,Yes,170,70,207,33,LGA,No,No,
KD-001-R2,YF,Yes,1,27,23,5,KDHSMA,Yes,No,
KD-001-R2,PENTA,Yes,106,0,55,51,Zipline,Yes,Yes,Scheduled routine immunization session
KD-001-R2,ROTA,Yes,0,45,26,19,LGA,Yes,No,
KD-001-R2,PCV,Yes,60,60,82,38,KDHSMA,Yes,No,
KD-001-R3,BCG,No,8,0,0,8,LGA,No,Yes,Scheduled routine immunization session
KD-001-R3,HPV,Yes,0,21,8,13,LGA,Yes,Yes,Outreach session held this week
KD-001-R3,IPV,No,17,0,0,17,LGA,No,Yes,High birth cohort this week
